source,source_detail,text,rating,date,url,themes,mode
play_store,com.myntra.android,"why do they have all these mnow and express delivery systems, if they cannot adhere to the specified delivery times. Honestly, they cannot guarantee the delivery times, it's just false advertising.",1,2026-08-19,,,rules
play_store,com.myntra.android,Very worst experience ever. They can't deliver products within their given timeline and this happened in Delhi. If they can't deliver products in cities like Delhi then guess the standard of this app.,1,2026-08-19,,,rules
play_store,com.myntra.android,Best Online Delivery Application,5,2026-08-19,,,rules
play_store,com.myntra.android,good quality of products is here 😁,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,nice shopping platform,5,2026-08-19,,,rules
play_store,com.myntra.android,I purchased two earrings n both r beautiful like in pic.too happy.thanx,5,2026-08-19,,,rules
play_store,com.myntra.android,"I ordered so many things so many times, but I didn’t receive anything. Ekart is Myntra’s delivery partner, and the Ekart service operating in Pala, Kottayam district, Kerala, simply does not deliver my orders. I tried so many times, and once I even went and collected the parcel myself, but I can’t keep doing that every time. So I decided to uninstall Myntra and get rid of all this stress. Now I can save my time and have some peace of mind instead.",1,2026-08-19,,,rules
play_store,com.myntra.android,best of purches,5,2026-08-19,,,rules
play_store,com.myntra.android,"These people don't deliver on time, and they treat you like a lot of people. They give you their own time and still don't deliver on time.",1,2026-08-19,,,rules
play_store,com.myntra.android,Very nice product in this app,5,2026-08-19,,,rules
play_store,com.myntra.android,worst delivery experience I had faced,1,2026-08-19,,,rules
play_store,com.myntra.android,"Extremely disappointing experience with Myntra. I ordered Plix Jamun Clarifying Fruity Toner, but the product arrived broken and leaking despite the packaging being unopened. This is clearly unacceptable, especially for a skincare product. What’s even more frustrating is that it has now been 3 days since I raised the issue, and there has been no proper resolution or meaningful action from Myntra. I expected much better customer service.",1,2026-08-19,,,rules
play_store,com.myntra.android,great products...,5,2026-08-19,,,rules
play_store,com.myntra.android,"The product of this application is trustworthy, Flipkart and Amazon fail in front of it, Mantra is the best.good",5,2026-08-19,,,rules
play_store,com.myntra.android,this app is good 👍,5,2026-08-19,,,rules
play_store,com.myntra.android,it's a very nice app just wow offers frequently coming in the app and the products are also genuine loved it,5,2026-08-19,,,rules
play_store,com.myntra.android,Better than many.,5,2026-08-19,,,rules
play_store,com.myntra.android,experience is good,5,2026-08-19,,,rules
play_store,com.myntra.android,"Products on Myntra are always amazing and of genuine quality, if myntra is selling something then I am assured that it will be a quality material. Services of myntra and policies are matchless in the market. at last...I will say..Leave all, join Myntra.",5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,Very useful app,5,2026-08-19,,,rules
